C_Sacolão,C_Marmita,C_FastFood,C_Mercado,C_Bandejão_UFF,Uber,Uber_Outros,Bebidas,Transporte,Coisas_Casa,Coisas_PC,Material_escola_desenho,Roupas,Aluguel,Remédios,Internet,Amigos,Outro,Historico_Backup
25.58,0.0,86.5,13.16,5.0,12.97,31.95,78.56,0.0,10.98,0.0,50.0,169.7,350.0,30.47,100.0,26.98,39.89,01/06/2022
,,,,,8.31,39.91,14.0,,330.0,,,,,30.88,,,102.0,
,,,,,12.2,,,,,,,,,,,,,
,,,,,9.11,,,,,,,,,,,,,
,,,,,8.93,,,,,,,,,,,,,
,,,,,9.99,,,,,,,,,,,,,
,,,,,14.92,,,,,,,,,,,,,
,,,,,8.99,,,,,,,,,,,,,
,,,,,9.9,,,,,,,,,,,,,
25.58,0.0,86.5,13.16,5.0,12.97,31.95,78.56,0.0,10.98,0.0,0.0,169.7,350.0,30.47,100.0,26.98,39.89,11/06/2022
,,,,,8.31,39.91,14.0,,330.0,,,,,30.88,,,102.0,
,,,,,12.2,,,,,,,,,,,,,
,,,,,9.11,,,,,,,,,,,,,
,,,,,8.93,,,,,,,,,,,,,
,,,,,9.99,,,,,,,,,,,,,
,,,,,14.92,,,,,,,,,,,,,
,,,,,8.99,,,,,,,,,,,,,
,,,,,9.9,,,,,,,,,,,,,
25.58,0.0,86.5,13.16,5.0,12.97,31.95,78.56,0.0,10.98,0.0,0.0,169.7,350.0,30.47,100.0,26.98,39.89,11/06/2022
,,,,,8.31,39.91,14.0,,330.0,,,,,30.88,,,102.0,
,,,,,12.2,,,,,,,,,,,,,
,,,,,9.11,,,,,,,,,,,,,
,,,,,8.93,,,,,,,,,,,,,
,,,,,9.99,,,,,,,,,,,,,
,,,,,14.92,,,,,,,,,,,,,
,,,,,8.99,,,,,,,,,,,,,
,,,,,9.9,,,,,,,,,,,,,
